rule_id,is_active,priority,pattern,canonical_text,notes
paybox,TRUE,0,paybox,paybox,Consolidate PayBox variants
auto_20260306_01,TRUE,0,סופר פארם|סופרפארם,סופרפארם,Consolidate Super-Pharm variants
auto_20260306_02,TRUE,0,דור אלון,דור אלון,Consolidate Dor Alon variants
auto_20260306_03,TRUE,0,שופרסל,שופרסל,Consolidate Shufersal variants
auto_20260306_04,TRUE,0,טיב טעם,טיב טעם,Consolidate Tiv Taam variants
auto_20260306_05,TRUE,0,מחסני השוק,מחסני השוק,Consolidate Machsanei HaShuk variants
auto_20260306_06,TRUE,0,רשות הטבע והגנים,רשות הטבע והגנים,Consolidate Nature and Parks Authority variants
auto_20260306_07,TRUE,0,צומת ספרים,צומת ספרים,Consolidate Tzomet Sfarim variants
auto_20260306_08,TRUE,0,רכבת ישראל,רכבת ישראל,Consolidate Israel Railways variants
auto_20260306_09,TRUE,0,ארומה,ארומה,Consolidate Aroma variants
auto_20260306_10,TRUE,0,אילנס,אילנס,Consolidate Ilans variants
auto_20260306_11,TRUE,0,קפה עלית,קפה עלית,Consolidate Elite Coffee variants
auto_20260306_12,TRUE,0,לנדוור,לנדוור,Consolidate Landwer variants
auto_20260306_13,TRUE,0,דלק,דלק,Consolidate Delek / fuel station variants
auto_20260306_14,TRUE,0,פז,פז,Consolidate Paz variants
auto_20260306_15,TRUE,0,סונול,סונול,Consolidate Sonol variants
auto_20260306_16,TRUE,0,ניצת הדובדבן,ניצת הדובדבן,Consolidate Nitzat HaDuvdevan variants
auto_20260306_17,TRUE,0,זול פעמי,זול פעמי,Consolidate Zol Paami variants
auto_20260306_18,TRUE,0,הראל ביטוח,הראל ביטוח,Consolidate Harel Insurance variants
auto_20260306_19,TRUE,0,כלל ביטוח,כלל ביטוח,Consolidate Clal Insurance variants
auto_20260306_20,TRUE,0,מס הכנסה,מס הכנסה,Consolidate Income Tax variants
auto_20260306_21,TRUE,0,משרד התחבורה,משרד התחבורה,Consolidate Ministry of Transport variants
auto_20260306_22,TRUE,0,המוסד לביטוח לאומי,המוסד לביטוח לאומי,Consolidate National Insurance Institute variants
auto_20260306_23,TRUE,0,מי שבע,מי שבע,Consolidate Mei Sheva variants
auto_20260306_24,TRUE,0,מרכז הספורט והנופש,מרכז הספורט והנופש,Consolidate Sport & Recreation Center variants
auto_20260306_25,TRUE,0,סולתם רדד,סולתם רדד,Consolidate Soltam Radad variants
auto_20260306_26,TRUE,0,סי קפה,סי קפה,Consolidate Si Cafe variants
auto_20260306_27,TRUE,0,ספרינט מוטורוס,ספרינט מוטורוס,Consolidate Sprint Motoros variants
auto_20260306_28,TRUE,0,בתי קולנוע,בתי קולנוע,Consolidate Cinema variants
auto_20260306_29,TRUE,0,בליקר בייקרי,בליקר בייקרי,Consolidate Blekir Bakery variants
auto_20260306_30,TRUE,0,בית יציב,בית יציב,Consolidate Beit Yatziv variants
auto_20260306_31,TRUE,0,אלונית,אלונית,Consolidate Alonit variants
auto_20260306_32,TRUE,0,duty free,duty free,Consolidate Duty Free variants
Cello,TRUE,0,cello,Cello,"Cello park "
Subject transfers,TRUE,0,experiment,experiment,Subject payments by bank transfer
