rule_id,is_active,priority,txn_kind,fingerprint,description_clean_norm,account_name,source,direction,currency,amount_bucket,payee_canonical,category_target,notes
angeli_eirini_vytina_1,True,0,,angeli eirini vytina,,,,,,,Agelini Iyrini,Greece 2025,bootstrap count=1
anivals_ood_sofia_2,True,0,,anivals ood sofia,,,,,,,Anivals Sofia,Bulgaria July 2025,bootstrap count=1
atlas_3,True,0,,atlas,,,,,,,Train food,Going out and restaurants,bootstrap count=2
atlas_4,True,0,,atlas,,,,,,,Atlas,Going out and restaurants,bootstrap count=1
atlas_5,True,0,,atlas,,,,,,,Oren Meshi Bakery,🛍️Groceries,bootstrap count=1
bbb_עין_שמר_6,True,0,,bbb עין שמר,,,,,,,Bbb,University,bootstrap count=1
bili_eood_bansko_7,True,0,,bili eood bansko,,,,,,,Bili Bansko,Bulgaria July 2025,bootstrap count=1
billa_sofia_8,True,0,,billa sofia,,,,,,,Billa Sofia,Bulgaria July 2025,bootstrap count=2
bit_9,True,0,,bit,,,,,,,Shira Yahav,Chugim parents,bootstrap count=57
bit_10,True,0,,bit,,,,,,,Subject payment,University,bootstrap count=55
bit_11,True,0,,bit,,,,,,,Subject,University,bootstrap count=39
bit_12,True,0,,bit,,,,,,,Bit,Unexplained expenses,bootstrap count=22
bit_13,True,0,,bit,,,,,,,Bit,Unplanned extra expense,bootstrap count=5
bit_14,True,0,,bit,,,,,,,Mark driving instructor,Mikael teenager 20000,bootstrap count=5
bit_15,True,0,,bit,,,,,,,Voice lessons,Chugim,bootstrap count=5
bit_16,True,0,,bit,,,,,,,Oded Dog Trainer,Pets,bootstrap count=3
bit_17,True,0,,bit,,,,,,,Bit,Pilates,bootstrap count=2
bit_18,True,0,,bit,,,,,,,Bit fees,Pilates,bootstrap count=2
bit_19,True,0,,bit,,,,,,,Hava,Loans and transfers,bootstrap count=2
bit_20,True,0,,bit,,,,,,,Lychee,🛍️Groceries,bootstrap count=2
bit_21,True,0,,bit,,,,,,,Math tutoring Mikael,Chugim,bootstrap count=2
bit_22,True,0,,bit,,,,,,,Present,Gifts,bootstrap count=2
bit_23,True,0,,bit,,,,,,,Tal Sabach,Going out and restaurants,bootstrap count=2
bit_24,True,0,,bit,,,,,,,Yam Guvrin,Ishai,bootstrap count=2
bit_25,True,0,,bit,,,,,,,Yam Guvrin,Yaara,bootstrap count=2
bit_26,True,0,,bit,,,,,,,Adrian Sports Trainer,Chugim parents,bootstrap count=1
bit_27,True,0,,bit,,,,,,,Asaf Bril,Going out and restaurants,bootstrap count=1
bit_28,True,0,,bit,,,,,,,Avishai Gilad,House and stuff,bootstrap count=1
bit_29,True,0,,bit,,,,,,,Bake sale,Pocket money,bootstrap count=1
bit_30,True,0,,bit,,,,,,,Ben Shofan Trainer,Chugim parents,bootstrap count=1
bit_31,True,0,,bit,,,,,,,Bialik,Going out and restaurants,bootstrap count=1
bit_32,True,0,,bit,,,,,,,Birthday gift,Gifts,bootstrap count=1
bit_33,True,0,,bit,,,,,,,Bit,Bank Interest & Fees,bootstrap count=1
bit_34,True,0,,bit,,,,,,,Bit,🛍️Groceries,bootstrap count=1
bit_35,True,0,,bit,,,,,,,Dates,🛍️Groceries,bootstrap count=1
bit_36,True,0,,bit,,,,,,,David Broza,Going out and restaurants,bootstrap count=1
bit_37,True,0,,bit,,,,,,,Earrings,Clothing,bootstrap count=1
bit_38,True,0,,bit,,,,,,,Efrat Taig,Danielle,bootstrap count=1
bit_39,True,0,,bit,,,,,,,Eilat,House and stuff,bootstrap count=1
