category_group,category_group_id,category_name,category_id,hidden
Internal Master Category,24f6f52b-fc5d-4a30-b915-f4b381d52f99,Inflow: Ready to Assign,be395739-8bc3-4120-b5b8-d86cea79297b,False
Internal Master Category,24f6f52b-fc5d-4a30-b915-f4b381d52f99,Deferred Income SubCategory,ce90e418-bad6-461b-aadd-5aebc5c5be08,False
Internal Master Category,24f6f52b-fc5d-4a30-b915-f4b381d52f99,Uncategorized,953c964a-50a9-4f4b-be8a-f070f4fc1000,False
Immediate Obligations,8829baab-630c-497c-bba3-5a171ca9d0b9,*1* Rent/Mortgage,c2f9be16-0b53-4763-9727-5da21d56aad7,False
Immediate Obligations,8829baab-630c-497c-bba3-5a171ca9d0b9,*2* Adva 166,f84f4b34-cd73-41b5-ad70-db770d3f3d98,False
Immediate Obligations,8829baab-630c-497c-bba3-5a171ca9d0b9,Rehovot dojo fees (350),e8e7fc28-30bb-4429-93db-71eb3571859c,False
Immediate Obligations,8829baab-630c-497c-bba3-5a171ca9d0b9,Finbot,cd508f2f-65c9-4f55-a7a4-d03fd4344313,True
Immediate Obligations,8829baab-630c-497c-bba3-5a171ca9d0b9,*2* Office and admin,b58df33d-ec18-453d-9273-b2c9086b3cfc,True
Immediate Obligations,8829baab-630c-497c-bba3-5a171ca9d0b9,*3* Green invoice 12/1 350 NIS,a3537e6d-5eb7-4f09-9a02-806a9bd66ad2,True
Immediate Obligations,8829baab-630c-497c-bba3-5a171ca9d0b9,*4* Professional insurance,9d427c5f-7d23-4aab-a492-9ae1f081a731,False
Immediate Obligations,8829baab-630c-497c-bba3-5a171ca9d0b9,*5* Certification,b20b8565-b518-47ed-ace4-2ee4010238cd,False
Immediate Obligations,8829baab-630c-497c-bba3-5a171ca9d0b9,Interest & Fees,6968ea24-5be9-4f28-b075-0b871f9940bd,False
Immediate Obligations,8829baab-630c-497c-bba3-5a171ca9d0b9,*6* Pilates 1/6 800,ae111a8e-5f51-4806-9fdd-fea1806e42ab,False
Immediate Obligations,8829baab-630c-497c-bba3-5a171ca9d0b9,*7* Blue Host 28.6 250,d3ee5f9d-69bc-4741-b632-806510a2319d,False
Immediate Obligations,8829baab-630c-497c-bba3-5a171ca9d0b9,Babysitter,255eb052-929f-478f-8eb1-afe7eac21ef5,True
Immediate Obligations,8829baab-630c-497c-bba3-5a171ca9d0b9,Salary,2d9857dc-0ce5-4fa1-b4d4-fada9d2d05da,True
Just for Fun,3752c2a2-ae55-4ba8-a685-1c3dcc924fde,*7* Parties,cc9c8088-ad93-420a-8a6b-2760daae62a8,False
True Expenses,38b08cfc-fd7b-44f0-aa13-e6f5f16120b5,ASU Dues 1/3 250,50561ed7-37b9-4373-a94a-329a100f9473,False
True Expenses,38b08cfc-fd7b-44f0-aa13-e6f5f16120b5,Unexpected expenses,8008bcfc-aba5-4fd1-947f-89e3f2ed26c1,False
True Expenses,38b08cfc-fd7b-44f0-aa13-e6f5f16120b5,*8* Medical,700b8b28-82dc-4807-a952-541d4994127d,False
True Expenses,38b08cfc-fd7b-44f0-aa13-e6f5f16120b5,*8* Seminars,b12241b8-f5ed-497b-bfd8-7781afc71d94,False
True Expenses,38b08cfc-fd7b-44f0-aa13-e6f5f16120b5,*10* Equipment,a309a014-7206-426a-ace9-cd73dbecc2f6,False
True Expenses,38b08cfc-fd7b-44f0-aa13-e6f5f16120b5,*11* Marketing,efcd1667-f7a1-479c-a683-b79023b65aad,False
True Expenses,38b08cfc-fd7b-44f0-aa13-e6f5f16120b5,*12* Mats,db45ec1e-7c2d-4ce8-8571-dba7f027eccd,False
True Expenses,38b08cfc-fd7b-44f0-aa13-e6f5f16120b5,*13* Rank,f3023949-496a-4443-9345-3b81fe14699a,False
True Expenses,38b08cfc-fd7b-44f0-aa13-e6f5f16120b5,Taxes,4f84d169-3f68-4187-ae23-2cd5ef42ad28,False
