fingerprint,count,example_raw_text,top_ynab_payees,top_ynab_categories,canonical_payee
adrian sports trainer,6,אדריאן דדון,Adrian Dado (6),Stuff I Forgot to Budget For (4); Adrian 570 NIS 28th (2),Adrian Dado
bank leumi,8,דמי כרטיס בנק לאומי ויזה,Bank Leumi (8),Interest & Fees 1st (8),Bank Leumi
car hire from carflexi,1,CAR HIRE FROM CARFLEXI,Car Flexi (1),Stuff I Forgot to Budget For (1),Car Flexi
facebk,1,FACEBK *7VJX56ZQ82,Facebook (1),Marketing (1),Facebook
google runkeeper,1,GOOGLE*RUNKEEPER,Runkeeper (1),Runkeeper 160 NIS 29/3 (1),Runkeeper
harel insurance,2,הראל-ביטוח כללי,Harel insurance (2),Insurance 1275 NIS 15/11 (2),Harel insurance
paypal boaznahaiss,9,PAYPAL *BOAZNAHAISS,Boaz (9),Boaz 28th (7); Classes (2),Boaz
אימפריית הממתקים בא,1,"אימפריית הממתקים בע""מ- בא",Empire of the sweets (1),Clothing (1),Empire of the sweets
אקוטונס מיכא,2,אקוטונס מיכא,ליה פילאטיס: קבוצתי (2),Ready to Assign (2),ליה פילאטיס: קבוצתי
בוסטאפ,10,בוסטאפ,boostap (10),Boostap 414.34 1st (10),boostap
בנק אוצר החיל,3,בנק אוצר החיל,ליה פילאטיס: קבוצתי (3),Ready to Assign (3),ליה פילאטיס: קבוצתי
בנק הפועלים,4,בנק הפועלים,ליה פילאטיס: קבוצתי (4),Ready to Assign (4),ליה פילאטיס: קבוצתי
גרואו פיימנט,2,גרואו פיימנט-י,Grow (2),Ready to Assign (2),Grow
המכללה לחינוך גופני,1,המכללה לחינוך גופני,Michlala Physical Education (1),Courses (1),Michlala Physical Education
הפקדת שיק,1,הפקדת שיק,ליה פילאטיס: פרטי (1),Ready to Assign (1),ליה פילאטיס: פרטי
התנועה ליהדות מת,11,התנועה ליהדות מת,Merhav Horim (11),Rent/Mortgage 900 1st (11),Merhav Horim
כא לאומי ויזה,12,כא)לאומי ויזה,Transfer : Credit card 0602 (12),,Transfer : Credit card 0602
ליאת רוטנר,4,"תשלום , ליאת רוטנר",ליה פילאטיס: קבוצתי (4),Ready to Assign (4),ליה פילאטיס: קבוצתי
ליה דונחין,24,ליה דונחין,ליה פילאטיס: פרטי (16); ליה פילאטיס: קבוצתי (6); Taxi (1),Ready to Assign (22); Courses (1); Stuff I Forgot to Budget For (1),ליה פילאטיס: פרטי; ליה פילאטיס: קבוצתי; Taxi; Bit from Saayarut
מסלול מורחב,13,מסלול מורחב,Bank Leumi (13),Interest & Fees 1st (13),Bank Leumi
מפייבוקס שלי,1,מפייבוקס שלי-י,ליה פילאטיס: קבוצתי (1),Ready to Assign (1),ליה פילאטיס: קבוצתי
עופר דונחין,6,עופר דונחין,Transfer : In Family (6),,Transfer : In Family
פיט פילאטיס,1,פיט פילאטיס,Fit Pilates (1),Equipment (1),Fit Pilates
פנדורה,1,פנדורה,Pandora (1),Clothing (1),Pandora
